"Property Name",,"ru-RU","Node Path"
"Value","Close transport {0} ","Закрыть транспорт {0}","Localization\ReplicationDelivery\CloseTransport"
"Value","File {0} deletion error: {1}","Файл {0} ошибка удаления: {1}","Localization\ReplicationDelivery\DeleteError"
"Value","File {0} deleted","Файл {0} удален","Localization\ReplicationDelivery\DeleteOk"
"Value","Download error: {0}","Ошибка получения файлов: {0}","Localization\ReplicationDelivery\DownloadError"
"Value","Downloading file {0} ...","Получение файла {0} ...","Localization\ReplicationDelivery\DownloadFile"
"Value","Downloading finished","Получение файлов завершено","Localization\ReplicationDelivery\DownloadFinished"
"Value","Downloading started","Получение файлов начато","Localization\ReplicationDelivery\DownloadStarted"
"Value","Download using transport {0}","Получение файлов с использованием транспорта {0}","Localization\ReplicationDelivery\DownloadUsing"
"Value","{0} file(s) found for download","Обнаружено {0} файлов для получения","Localization\ReplicationDelivery\FilesForDownload"
"Value","{0} messages found for upload","{0} сообщений для отправки","Localization\ReplicationDelivery\FoundForUpload"
"Value","Open transport {0} ","Открыт транспорт {0}","Localization\ReplicationDelivery\OpenTransport"
"Value","{0} transport(s) found for download","{0} транспортов доступно для загрузки","Localization\ReplicationDelivery\TransportFound"
"Value","Upload error: {0}","Ошибка отправки: {0}","Localization\ReplicationDelivery\UploadError"
"Value","Uploading finished","Отправка завершена","Localization\ReplicationDelivery\UploadFinished"
"Value","Uploading file {0} ...","Отправка файла {0} ...","Localization\ReplicationDelivery\UploadingFile"
"Value","Uploading started","Отправка началась","Localization\ReplicationDelivery\UploadStarted"
"Value","Transport for uploading is not found. Please append at list one transport module to application.","Транспорт для отправки не найден. Пожалуйста добавьте в список хотя бы один транспортный модуль в Ваше приложение.","Localization\ReplicationDelivery\UploadTransportNotFound"
