"Property Name",,"ru-RU","Node Path"
"Caption","Load all replicas","Загрузить все","ActionDesign\Actions\LoadAllAction"
"ConfirmationMessage","Load all pending replicas into database ?","Загрузить все новые пакеты в БД ?","ActionDesign\Actions\LoadAllAction"
"ToolTip","Playback all pending replicas in context of application database","Загрузить все новые пакеты в БД","ActionDesign\Actions\LoadAllAction"
"Caption","Build snapshot","Сформировать образ БД","ActionDesign\Actions\BuildSnapshotAction"
"ConfirmationMessage","Create database snapshot for selected replication node ?","Сформировать образ БД для выделенного узла ?","ActionDesign\Actions\BuildSnapshotAction"
"ToolTip","Create database snapshot for selected replication node","Сформировать образ БД для выделенного узла","ActionDesign\Actions\BuildSnapshotAction"
"Caption","Export","Экспорт","ActionDesign\Actions\ExportFilesAction"
"ToolTip","Save selected items to files ","Экспортировать выделенные данные в файл","ActionDesign\Actions\ExportFilesAction"
"Caption","Import","Импорт","ActionDesign\Actions\ImportFilesAction"
"ToolTip","Load data from files","Импортировать данные из файлов","ActionDesign\Actions\ImportFilesAction"
"Caption","Import","Импорт","ActionDesign\Actions\WinImportFilesAction"
"ToolTip","Load data from files","Импортировать данные из файлов","ActionDesign\Actions\WinImportFilesAction"
"Caption","Current Node Holder","Текущий узел владельца","BOModel\XafDelta.CurrentNodeHolder"
"Caption","Current Node","Текущий узел","BOModel\XafDelta.CurrentNodeHolder\OwnMembers\CurrentNode"
"Caption","Object Reference","Ссылка на объект","BOModel\XafDelta.Messaging.ObjectReference"
"Caption","Assembly Name","Имя сборки","BOModel\XafDelta.Messaging.ObjectReference\OwnMembers\AssemblyName"
"Caption","Class Name","Имя класса","BOModel\XafDelta.Messaging.ObjectReference\OwnMembers\ClassName"
"Caption","Assembly Qualified Name","Полное имя сборки","BOModel\XafDelta.Messaging.ObjectReference\OwnMembers\AssemblyQualifiedName"
"Caption","Object Id","Идентификатор объекта","BOModel\XafDelta.Messaging.ObjectReference\OwnMembers\ObjectId"
"Caption","Replication Key","Ключ репликации","BOModel\XafDelta.Messaging.ObjectReference\OwnMembers\ReplicationKey"
"Caption","Reference Type","Тип ссылки","BOModel\XafDelta.Messaging.ObjectReference\OwnMembers\ReferenceType"
"Caption","Is Assigned","Назначен","BOModel\XafDelta.Messaging.ObjectReference\OwnMembers\IsAssigned"
